report_month,fyear,month_name,paimana_id,part,filename,archive_path
2017-01,2016-17,January,126,,FR_jan_2017.pdf,Content\ArchiveReport\flash\2016-17\FR_jan_2017.pdf
2017-02,2016-17,February,127,,FR_feb_2017.pdf,Content\ArchiveReport\flash\2016-17\FR_feb_2017.pdf
2017-03,2016-17,March,128,,FR_march_2017.pdf,Content\ArchiveReport\flash\2016-17\FR_march_2017.pdf
2017-04,2017-18,April,129,,FR_APril_2017.pdf,Content\ArchiveReport\flash\2017-18\FR_APril_2017.pdf
2017-05,2017-18,May,130,,FR_may_2017.pdf,Content\ArchiveReport\flash\2017-18\FR_may_2017.pdf
2017-06,2017-18,June,131,,FR_june_2017.pdf,Content\ArchiveReport\flash\2017-18\FR_june_2017.pdf
2017-07,2017-18,July,132,,FR_july_2017.pdf,Content\ArchiveReport\flash\2017-18\FR_july_2017.pdf
2017-08,2017-18,August,133,,FR_aug_2017.pdf,Content\ArchiveReport\flash\2017-18\FR_aug_2017.pdf
2017-09,2017-18,September,134,,FR_sep_2017.pdf,Content\ArchiveReport\flash\2017-18\FR_sep_2017.pdf
2017-10,2017-18,October,135,,FR_oct_2017.pdf,Content\ArchiveReport\flash\2017-18\FR_oct_2017.pdf
2017-11,2017-18,November,136,,FR_nov_2017.pdf,Content\ArchiveReport\flash\2017-18\FR_nov_2017.pdf
2017-12,2017-18,December,137,,FR_dec_2017.pdf,Content\ArchiveReport\flash\2017-18\FR_dec_2017.pdf
2018-01,2017-18,January,138,,FR_jan_2018.pdf,Content\ArchiveReport\flash\2017-18\FR_jan_2018.pdf
2018-02,2017-18,February,139,,FR_feb_2018.pdf,Content\ArchiveReport\flash\2017-18\FR_feb_2018.pdf
2018-03,2017-18,March,140,,FR_march_2018.pdf,Content\ArchiveReport\flash\2017-18\FR_march_2018.pdf
2018-04,2018-19,April,141,,FR_APr_2018.pdf,Content\ArchiveReport\flash\2018-19\FR_APr_2018.pdf
2018-05,2018-19,May,142,,FR_may_2018.pdf,Content\ArchiveReport\flash\2018-19\FR_may_2018.pdf
2018-06,2018-19,June,143,,FR_jun_2018.pdf,Content\ArchiveReport\flash\2018-19\FR_jun_2018.pdf
2018-07,2018-19,July,144,,FR_july_2018.pdf,Content\ArchiveReport\flash\2018-19\FR_july_2018.pdf
2018-08,2018-19,August,145,,FR_aug_Report_2018.pdf,Content\ArchiveReport\flash\2018-19\FR_aug_Report_2018.pdf
2018-09,2018-19,September,146,,FR_sep_Report_2018.pdf,Content\ArchiveReport\flash\2018-19\FR_sep_Report_2018.pdf
2018-10,2018-19,October,147,,FR_oct_Report_2018.pdf,Content\ArchiveReport\flash\2018-19\FR_oct_Report_2018.pdf
2018-11,2018-19,November,148,,FR_nov_Report_2018.pdf,Content\ArchiveReport\flash\2018-19\FR_nov_Report_2018.pdf
2018-12,2018-19,December,149,,FR_dec_Report_2018.pdf,Content\ArchiveReport\flash\2018-19\FR_dec_Report_2018.pdf
2019-01,2018-19,January,150,,FR_jan_Report_2019.pdf,Content\ArchiveReport\flash\2018-19\FR_jan_Report_2019.pdf
2019-02,2018-19,February,151,,FR_feb_Report_2019.pdf,Content\ArchiveReport\flash\2018-19\FR_feb_Report_2019.pdf
2019-03,2018-19,March,152,,FR_mar_Report_2019.pdf,Content\ArchiveReport\flash\2018-19\FR_mar_Report_2019.pdf
2019-04,2019-20,April,1,,FR_APr_Report_2019.pdf,Content\ArchiveReport\flash\2019-20\FR_APr_Report_2019.pdf
2019-05,2019-20,May,2,,FR_may_Report_2019.pdf,Content\ArchiveReport\flash\2019-20\FR_may_Report_2019.pdf
2019-06,2019-20,June,3,,FR_jun_Report_2019.pdf,Content\ArchiveReport\flash\2019-20\FR_jun_Report_2019.pdf
2019-07,2019-20,July,4,,FR_july_Report_2019.pdf,Content\ArchiveReport\flash\2019-20\FR_july_Report_2019.pdf
2019-08,2019-20,August,5,,FR_aug_Report_2019.pdf,Content\ArchiveReport\flash\2019-20\FR_aug_Report_2019.pdf
2019-09,2019-20,September,6,,FR_sep_Report_2019.pdf,Content\ArchiveReport\flash\2019-20\FR_sep_Report_2019.pdf
2019-10,2019-20,October,7,,FR_oct_Report_2019.pdf,Content\ArchiveReport\flash\2019-20\FR_oct_Report_2019.pdf
2019-11,2019-20,November,8,,FR_nov_Report_2019.pdf,Content\ArchiveReport\flash\2019-20\FR_nov_Report_2019.pdf
2019-12,2019-20,December,9,,FR_dec_Report_2019.pdf,Content\ArchiveReport\flash\2019-20\FR_dec_Report_2019.pdf
2020-01,2019-20,January,10,,FR_jan_Report_2020.pdf,Content\ArchiveReport\flash\2019-20\FR_jan_Report_2020.pdf
2020-02,2019-20,February,11,,FR_feb_2020.pdf,Content\ArchiveReport\flash\2019-20\FR_feb_2020.pdf
2020-03,2019-20,March,12,,FR_march_2020.pdf,Content\ArchiveReport\flash\2019-20\FR_march_2020.pdf
2020-04,2020-21,April,13,,FR_APril_2020.pdf,Content\ArchiveReport\flash\2020-21\FR_APril_2020.pdf
2020-05,2020-21,May,14,,FR_may_2020.pdf,Content\ArchiveReport\flash\2020-21\FR_may_2020.pdf
2020-06,2020-21,June,15,,FR_jun_2020.pdf,Content\ArchiveReport\flash\2020-21\FR_jun_2020.pdf
2020-07,2020-21,July,16,,FR_july_2020 (1).pdf,Content\ArchiveReport\flash\2020-21\FR_july_2020 (1).pdf
2020-08,2020-21,August,17,,FR_august_2020.pdf,Content\ArchiveReport\flash\2020-21\FR_august_2020.pdf
2020-09,2020-21,September,18,,FR_sep_2020.pdf,Content\ArchiveReport\flash\2020-21\FR_sep_2020.pdf
2020-10,2020-21,October,19,,FR_oct_2020.pdf,Content\ArchiveReport\flash\2020-21\FR_oct_2020.pdf
2020-11,2020-21,November,20,,FR_nov_2020.pdf,Content\ArchiveReport\flash\2020-21\FR_nov_2020.pdf
2020-12,2020-21,December,21,,FR_dec_2020.pdf,Content\ArchiveReport\flash\2020-21\FR_dec_2020.pdf
2021-01,2020-21,January,22,,FR_jan_2021.pdf,Content\ArchiveReport\flash\2020-21\FR_jan_2021.pdf
2021-02,2020-21,February,23,,FR_feb_2021.pdf,Content\ArchiveReport\flash\2020-21\FR_feb_2021.pdf
2021-03,2020-21,March,24,,FR_mar_2021.pdf,Content\ArchiveReport\flash\2020-21\FR_mar_2021.pdf
2021-04,2021-22,April,25,,FR_APr_2021.pdf,Content\ArchiveReport\flash\2021-22\FR_APr_2021.pdf
2021-05,2021-22,May,26,,FR_may_2021.pdf,Content\ArchiveReport\flash\2021-22\FR_may_2021.pdf
2021-06,2021-22,June,27,,FR_june_2021.pdf,Content\ArchiveReport\flash\2021-22\FR_june_2021.pdf
2021-07,2021-22,July,28,,FR_july_2021.pdf,Content\ArchiveReport\flash\2021-22\FR_july_2021.pdf
2021-08,2021-22,August,29,,FR_aug_2021.pdf,Content\ArchiveReport\flash\2021-22\FR_aug_2021.pdf
2021-09,2021-22,September,30,,FR_sep_2021.pdf,Content\ArchiveReport\flash\2021-22\FR_sep_2021.pdf
2021-10,2021-22,October,31,,FR_oct_2021.pdf,Content\ArchiveReport\flash\2021-22\FR_oct_2021.pdf
2021-11,2021-22,November,32,,FR_nov_2021.pdf,Content\ArchiveReport\flash\2021-22\FR_nov_2021.pdf
2021-12,2021-22,December,33,,FR_dec_2021.pdf,Content\ArchiveReport\flash\2021-22\FR_dec_2021.pdf
2022-01,2021-22,January,34,,FR_jan_2022.pdf,Content\ArchiveReport\flash\2021-22\FR_jan_2022.pdf
2022-02,2021-22,February,35,,FR_feb_2022.pdf,Content\ArchiveReport\flash\2021-22\FR_feb_2022.pdf
2022-03,2021-22,March,36,,FR_mar_2022.pdf,Content\ArchiveReport\flash\2021-22\FR_mar_2022.pdf
2022-04,2022-23,April,37,,FR_APr_2022.pdf,Content\ArchiveReport\flash\2022-23\FR_APr_2022.pdf
2022-05,2022-23,May,38,,FR_may_2022.pdf,Content\ArchiveReport\flash\2022-23\FR_may_2022.pdf
2022-06,2022-23,June,39,,FR_june_2022.pdf,Content\ArchiveReport\flash\2022-23\FR_june_2022.pdf
2022-07,2022-23,July,40,,FR_july_2022.pdf,Content\ArchiveReport\flash\2022-23\FR_july_2022.pdf
2022-08,2022-23,August,41,,FR_august_2022.pdf,Content\ArchiveReport\flash\2022-23\FR_august_2022.pdf
2022-09,2022-23,September,42,,FR_september_2022.pdf,Content\ArchiveReport\flash\2022-23\FR_september_2022.pdf
2022-10,2022-23,October,43,,FR_oct_2022.pdf,Content\ArchiveReport\flash\2022-23\FR_oct_2022.pdf
2022-11,2022-23,November,44,,FR_nov_2022.pdf,Content\ArchiveReport\flash\2022-23\FR_nov_2022.pdf
2022-12,2022-23,December,45,,FR_dec_2022.pdf,Content\ArchiveReport\flash\2022-23\FR_dec_2022.pdf
2023-01,2022-23,January,46,,FR_jan_2023.pdf,Content\ArchiveReport\flash\2022-23\FR_jan_2023.pdf
2023-02,2022-23,February,47,,FR_feb_2023.pdf,Content\ArchiveReport\flash\2022-23\FR_feb_2023.pdf
2023-03,2022-23,March,48,,FR_march_2023.pdf,Content\ArchiveReport\flash\2022-23\FR_march_2023.pdf
2023-04,2023-24,April,49,,FR_APril_2023.pdf,Content\ArchiveReport\flash\2023-24\FR_APril_2023.pdf
2023-05,2023-24,May,50,,FR_may_2023.pdf,Content\ArchiveReport\flash\2023-24\FR_may_2023.pdf
2023-06,2023-24,June,51,,FR_june_2023.pdf,Content\ArchiveReport\flash\2023-24\FR_june_2023.pdf
2023-07,2023-24,July,52,,FR_july1_2023.pdf,Content\ArchiveReport\flash\2023-24\FR_july1_2023.pdf
2023-08,2023-24,August,53,,FR_august_2023.pdf,Content\ArchiveReport\flash\2023-24\FR_august_2023.pdf
2023-09,2023-24,September,54,,FR_sept_2023.pdf,Content\ArchiveReport\flash\2023-24\FR_sept_2023.pdf
2023-10,2023-24,October,55,,FR_oct_2023.pdf,Content\ArchiveReport\flash\2023-24\FR_oct_2023.pdf
2023-11,2023-24,November,56,,FR_nov_2023.pdf,Content\ArchiveReport\flash\2023-24\FR_nov_2023.pdf
2023-12,2023-24,December,57,,FR_dec_2023.pdf,Content\ArchiveReport\flash\2023-24\FR_dec_2023.pdf
