legacy_ocms_code,synthetic_project_code,surviving_project_code,reviewed_by,rationale
N18000249,ocms:N18000249,602223,,ocms:N18000249 was minted by the truncated-read run of load-mospi-historical; 602223 is the MoSPI project_code that already carried legacy_ocms_code N18000249
N18000172,ocms:N18000172,602525,,ocms:N18000172 was minted by the truncated-read run of load-mospi-historical; 602525 is the MoSPI project_code that already carried legacy_ocms_code N18000172
N18000194,ocms:N18000194,602579,,ocms:N18000194 was minted by the truncated-read run of load-mospi-historical; 602579 is the MoSPI project_code that already carried legacy_ocms_code N18000194
N18000279,ocms:N18000279,602593,,ocms:N18000279 was minted by the truncated-read run of load-mospi-historical; 602593 is the MoSPI project_code that already carried legacy_ocms_code N18000279
N16000506,ocms:N16000506,604852,,ocms:N16000506 was minted by the truncated-read run of load-mospi-historical; 604852 is the MoSPI project_code that already carried legacy_ocms_code N16000506
N16000375,ocms:N16000375,604853,,ocms:N16000375 was minted by the truncated-read run of load-mospi-historical; 604853 is the MoSPI project_code that already carried legacy_ocms_code N16000375
N16000396,ocms:N16000396,604859,,ocms:N16000396 was minted by the truncated-read run of load-mospi-historical; 604859 is the MoSPI project_code that already carried legacy_ocms_code N16000396
N16000331,ocms:N16000331,604863,,ocms:N16000331 was minted by the truncated-read run of load-mospi-historical; 604863 is the MoSPI project_code that already carried legacy_ocms_code N16000331
N18000326,ocms:N18000326,605156,,ocms:N18000326 was minted by the truncated-read run of load-mospi-historical; 605156 is the MoSPI project_code that already carried legacy_ocms_code N18000326
N28000142,ocms:N28000142,605292,,ocms:N28000142 was minted by the truncated-read run of load-mospi-historical; 605292 is the MoSPI project_code that already carried legacy_ocms_code N28000142
N28000140,ocms:N28000140,606431,,ocms:N28000140 was minted by the truncated-read run of load-mospi-historical; 606431 is the MoSPI project_code that already carried legacy_ocms_code N28000140
N16000414,ocms:N16000414,607701,,ocms:N16000414 was minted by the truncated-read run of load-mospi-historical; 607701 is the MoSPI project_code that already carried legacy_ocms_code N16000414
N18000250,ocms:N18000250,607709,,ocms:N18000250 was minted by the truncated-read run of load-mospi-historical; 607709 is the MoSPI project_code that already carried legacy_ocms_code N18000250
N28000146,ocms:N28000146,609019,,ocms:N28000146 was minted by the truncated-read run of load-mospi-historical; 609019 is the MoSPI project_code that already carried legacy_ocms_code N28000146
N28000126,ocms:N28000126,610315,,ocms:N28000126 was minted by the truncated-read run of load-mospi-historical; 610315 is the MoSPI project_code that already carried legacy_ocms_code N28000126
N16000445,ocms:N16000445,610984,,ocms:N16000445 was minted by the truncated-read run of load-mospi-historical; 610984 is the MoSPI project_code that already carried legacy_ocms_code N16000445
N06000195,ocms:N06000195,611016,,ocms:N06000195 was minted by the truncated-read run of load-mospi-historical; 611016 is the MoSPI project_code that already carried legacy_ocms_code N06000195
N06000194,ocms:N06000194,611017,,ocms:N06000194 was minted by the truncated-read run of load-mospi-historical; 611017 is the MoSPI project_code that already carried legacy_ocms_code N06000194
N04000107,ocms:N04000107,611047,,ocms:N04000107 was minted by the truncated-read run of load-mospi-historical; 611047 is the MoSPI project_code that already carried legacy_ocms_code N04000107
N18000378,ocms:N18000378,611735,,ocms:N18000378 was minted by the truncated-read run of load-mospi-historical; 611735 is the MoSPI project_code that already carried legacy_ocms_code N18000378
N16000458,ocms:N16000458,611917,,ocms:N16000458 was minted by the truncated-read run of load-mospi-historical; 611917 is the MoSPI project_code that already carried legacy_ocms_code N16000458
N22000550,ocms:N22000550,611943,,ocms:N22000550 was minted by the truncated-read run of load-mospi-historical; 611943 is the MoSPI project_code that already carried legacy_ocms_code N22000550
N22000538,ocms:N22000538,611945,,ocms:N22000538 was minted by the truncated-read run of load-mospi-historical; 611945 is the MoSPI project_code that already carried legacy_ocms_code N22000538
N18000379,ocms:N18000379,611947,,ocms:N18000379 was minted by the truncated-read run of load-mospi-historical; 611947 is the MoSPI project_code that already carried legacy_ocms_code N18000379
N18000374,ocms:N18000374,611948,,ocms:N18000374 was minted by the truncated-read run of load-mospi-historical; 611948 is the MoSPI project_code that already carried legacy_ocms_code N18000374
N22000540,ocms:N22000540,611970,,ocms:N22000540 was minted by the truncated-read run of load-mospi-historical; 611970 is the MoSPI project_code that already carried legacy_ocms_code N22000540
N22000541,ocms:N22000541,611971,,ocms:N22000541 was minted by the truncated-read run of load-mospi-historical; 611971 is the MoSPI project_code that already carried legacy_ocms_code N22000541
N22000532,ocms:N22000532,612072,,ocms:N22000532 was minted by the truncated-read run of load-mospi-historical; 612072 is the MoSPI project_code that already carried legacy_ocms_code N22000532
N18000385,ocms:N18000385,612140,,ocms:N18000385 was minted by the truncated-read run of load-mospi-historical; 612140 is the MoSPI project_code that already carried legacy_ocms_code N18000385
