Sl. No,Payment/Receipt,Department,Head,Sub-Head,P/R Code,Work description,Accounts 2017-18,Budget Estimates 2018-19,Revised Estimates 2018-19,2019-20 Revenue,2019-20 Capital,2019-20 Total
752,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P3499 ,Construction of Swimming Pool at Mallasandra ward,-,300,-,-,-,-
753,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P3500 ,Additional Construction for ward office and Hospital in ward No. 152,-,100,-,-,-,-
754,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P3440 ,Development of Swimming Pool Building at ward no.68,-,200,-,-,-,-
755,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P3586 ,Construction of MPED Building at Ward no. 153,-,-,-,-,"2,000.00","2,000.00"
756,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P3669 ,Improvements Of Building in Udayakumar Park in Ward No.67,-,-,-,-,500,500
757,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P3587 ,Improvements to Kalyani in Ward no. 149,-,-,-,-,100,100
758,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P3670 ,Construction Of Hospital in Ward No.33,-,-,-,-,100,100
759,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P3671 ,Construction Of Tailoring And Community Centre in Ward No.33,-,-,-,-,300,300
760,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P3672 ,Construction Of School and Collage Building in Ward No.93,-,-,-,-,100,100
761,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P3673 ,Construction Of School Building at Marappanapalya,-,-,-,-,500,500
762,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P2227 ,Construction of School Building at Kodandarampura,-,-,142,-,-,-
763,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P2227 ,Pending Bills,-,-,-,-,4,4
764,Payments,13. Public Works Zonal,Infrastructure,Zonal Buildings,P0595 ,Zonal Buildings,-,16,20,-,-,-
765,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3055 ,"Developmental works in ward no. 195,128,179,180,138,27,190,133,4,3 2,69,8,172,103,10",722.87,278,100,-,-,-
766,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3055 ,Pending Bills,-,-,-,-,265,265
767,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2924 ,"Development works in Selected wards 46.68.75,90,91,92,94,95 ,97,103.112.136.148,164,191, 7,63,106.156,187,43",76.88,73.5,30,-,-,-
768,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3113 ,Development works at word no. 98,-,24,-,-,-,-
769,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3113 ,Pending Bills,-,-,-,-,88,88
770,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3118 ,"Comprahensive Development works at ward no. 77, 29",-,44,45,-,-,-
771,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3118 ,Pending Bills,-,-,-,-,175,175
772,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3165 ,"Special development works in ward no. 11,41,27,43,52,57 and 9",45.81,699,100,-,-,-
773,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3165 ,Pending Bills,-,-,-,-,844,844
774,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3166 ,"Special development works in ward no.21,24,50,54,58,59,72,78,110,141, 188, and 197",-,925,75,-,-,-
775,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3166 ,Pending Bills,-,-,-,-,"1,150.00","1,150.00"
776,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3167 ,"Special development works in ward no,119,124,131,133,157,171,177,181, 192,184,185,194,155,105,90,91,92,98,9, 11,2 and 65",-,474,230,-,-,-
777,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3167 ,Pending Bills,-,-,-,-,772,772
778,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3172 ,"Special development works in following wards - 177,78,97,57,99,100, 68,11,126,168,113,2,181,3,21,33,23,24,27, 59,53,57,81,47,45,72,50,91,92,117,145, 146,147,148,151,152,122,134,157,84,85,150 ,163,179,180,170,171,175,176,173,174,186, 189,190,193,185,191,194,195,196,127",170.19,"1,529.00",525,-,-,-
779,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3172 ,Pending Bills,-,-,-,-,"3,346.00","3,346.00"
780,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3173 ,"Special development works in following wards - 124,185,98,188,10,14, 16,30,28,37,42,130,159,65,66,73,79,80, 90,95,94,89,108,111,115,97,105,131,133, 119,125,137,143,124,158,138,83,166,182, 129,165,161,4,88,27,31,32,52,44,26,7, 183,178,187",99.99,624,417,-,-,-
781,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3173 ,Pending Bills,-,-,-,-,"1,505.00","1,505.00"
782,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3174 ,"Special development works in following wards - 188,141,169,82,58",-,715,43,-,-,-
783,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3174 ,Pending Bills,-,-,-,-,917,917
784,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3175 ,Special development works in following wards - 172.154.197.77.75.192.102.18.41,24.47,531,342,-,-,-
785,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3175 ,Pending Bills,-,-,-,-,"1,482.00","1,482.00"
786,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3119 ,Development works at Byatarayanapura and Pullikeshinagar Assembly Constituncy,285,59,110,-,-,-
787,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3119 ,Pending Bills,-,-,-,-,341,341
788,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3120 ,"Development works at word no 47, 57, 63, 66, 68, 154,171,33 and 9",-,498,240,-,-,-
789,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3120 ,Pending Bills,-,-,-,-,845,845
790,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3086 ,"Drinking Water Alteration project in Ward no 157, 134, 198",196.87,-,-,-,-,-
791,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3087 ,Drinking Water Alteration project in Ward no 198,59.59,-,-,-,-,-
792,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P0485 ,Construction / Improvements to Burial Grounds & Burning ghats / Electrical crematorium (Establishment of 4 New Burial grounds in BBMP Limits),-,-,-,-,-,-
793,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P0485 ,Pending Bills,-,-,-,-,424,424
794,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P0485 ,Current Works,-,-,-,-,"4,000.00","4,000.00"
795,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2353 ,Special Development Works in Ward 47-Devarajeevana Halli,50.3,66,67,-,-,-
796,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2353 ,Pending Bills,-,-,-,-,150,150
797,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2364 ,"Special Developmental Works in Ward no 188, 109, 184, 168, 159, 160, 104, 146, 65,99, 56, 03",63.49,-,-,-,-,-
798,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2254 ,"Special Developmental Works in Ward no 29,43, 50, 142, 154, 178, 163, 179,05, 08, 09,10, 67, 128, 187,196,153",-,-,17,-,-,-
799,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2363 ,"Special Developmental Works in Ward no 65, 152, 174,28, 126, 107, 102, 86, 38,45,49",276.07,119,75,-,-,-
800,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2363 ,Pending Bills,-,-,-,-,134,134
801,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2255 ,"Special Developmental Works in Ward no 65, 97, 108, 142, 155, 40,52,106,98,100,101,111,120",39.95,103,81,-,-,-
802,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2255 ,Pending Bills,-,-,-,-,3,3
803,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2664 ,"Special Developmental Works (Ward no’s 65,20,25,31,36,40,53,96,128, 153,181) ",271.28,123,-,-,-,-
804,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2664 ,Spillover Works,-,-,-,-,54,54
805,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P1771 ,"Zone Works - POW Works-40% (For other maintenance Works) Rs, 0.80 Crores for old wards & Rs, 1.20 Crores for new ward)","35,635.45","67,580.00","25,000.00",-,-,-
806,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P1771 ,Pending Bills,-,-,-,"14,944.00",-,"14,944.00"
807,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P1771 ,Current Works (Escrow Account),-,-,-,"18,600.00",-,"18,600.00"
808,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3726 ,"Zone Works - POW Works-60% (For Annual maintenance and Re-asphalting of Road in ward Jurisdiction)- Escrow Account (Rs, 1.2 Crores for old wards & Rs, 1.8 Crores for new ward)",-,-,-,"27,900.00",-,"27,900.00"
809,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3261 ,Zone Works Special grants to Women represented ward,-,40,40,-,-,-
810,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3261 ,Pending Bills,-,-,-,-,344,344
811,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P0613 ,Redoing of Road cut Portions (Deposit Contributions),113.6,133.85,230,-,-,-
812,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P0613 ,Spillover Works,-,-,-,500,-,500
813,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2650 ,Reserve Fund for Spillover Works ,567.6,267,25,-,-,-
814,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2650 ,Pending Bills,-,-,-,-,36,36
815,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2201 ,Assembly Constituency Development Works under BBMP rod saaori^ airerfrree^ co Pending Bills,"4,565.12","1,683.00","1,710.00",-,-,-
816,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2201 ,Pending Bills,-,-,-,-,515,515
817,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3315 ,Improvements of Roads & Drains at Ramaswamy palya & Chinnappa garden,-,100,34,-,-,-
818,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3315 ,Spillover Works,-,-,-,-,767,767
819,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3350 ,Developmental works at Yeshawa-nthapura. K.R.Pura & R.R.Nagara .Assembly constituency (each Rs.15 Cr),-,651,-,-,-,-
820,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3350 ,Pending Bills,-,-,-,-,"2,008.00","2,008.00"
821,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2224 ,Development of Footpaths and other Developmental Works in Malleshwaram Constituency,-,102.69,-,-,-,-
822,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2687 ,Development Works in Ward-154,35.68,10,-,-,-,-
823,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P0622 ,Formation & Improvements to Zonal Footpaths (Repair & rectification of footpaths & shoulder drains),227.15,16,16,-,-,-
824,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2747 ,Asphalting works in Horamavu and surrounding areas,41.97,96,54,-,-,-
825,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2348 ,Deposit Contribution Works,101.24,125,75,-,-,-
826,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2348 ,Pending Bills,-,-,-,-,817,817
827,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3343 ,Development works at Tasker town areas,-,-,-,-,-,-
828,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3343 ,Pending Bills,-,-,-,-,399,399
829,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3316 ,"Special Development Works in Ward no.82,6,16,44,70,17,26,13,79,35 Rs.8 Cr Each",-,-,10,-,-,-
830,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3316 ,Pending Bills,-,-,-,-,"1,997.00","1,997.00"
831,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3317 ,Special Development Works in Ward no. 192 Rs.7 Cr &197 Rs.10 Cr,-,-,-,-,-,-
832,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3317 ,Pending Bills,-,-,-,-,823,823
833,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3318 ,"Special Development Works in Ward no.127,141 & 184 -Each ward 2 Cr",-,-,222,-,-,-
834,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3318 ,Pending Bills,-,-,-,-,149,149
835,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3319 ,"Special Development Works in Ward no.61 -Rs.6 Cr, & Ward no.62 -Rs.9 Cr",-,-,-,-,-,-
836,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3319 ,Pending Bills,-,-,-,-,569,569
837,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3320 ,"Special Development Works in Ward no.92 -Rs.5 Cr, & Ward no.93 -Rs.5 Cr",-,-,-,-,-,-
838,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3320 ,Pending Bills,-,-,-,-,39,39
839,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3250 ,"Special Development Works in Ward no.29 -Rs.4.00 Cr, Ward no 166,183,161,174,57,27 Each Rs. 1.00 Cr, Ward no 52,50,51,170,169,178 Each Rs.50 lakhs, Bangalore South Assembly Constituency Rs.2.00 Cr and Ward no. 103 -Rs. 13.00 Cr, Ward no. 171- 20.00 Cr, Ward no. 19-Rs.8.00 Cr, Ward no. 104. Rs.5.00 Cr",-,140,230,-,-,-
840,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3250 ,Pending Bills,-,-,-,-,"2,659.00","2,659.00"
841,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3321 ,"Special Development Works at Yash-wanthpura, Shanthinagar, K.R.Pura, Assembly Constituencnes Rs. 5 Cr Each",-,100,440,-,-,-
842,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3321 ,Pending Bills,-,-,-,-,812,812
843,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3322 ,"Special Development Works in Ward no.32,50,60,63,67,69,80,113,122,13 6,139,145 Rs.4 Cr Each",-,-,265,-,-,-
844,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3322 ,Pending Bills,-,-,-,-,848,848
845,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3328 ,"Special Development works at Ward No.22, 31, 44, 70, 74, 102, 135, 176, Rs.1.00 CrEach 86, 112, 144 Rs. 5.00 Cr Each",-,-,25,-,-,-
846,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3328 ,Pending Bills,-,-,-,-,257,257
847,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3329 ,"Special Development works, Rs. 1.00 Cr each Ward No.01, 03, 04, 05,09, 10, 14, 15, 27, 28, 34, 36, 39, 43, 45, 46, 51, 52, 57, 65, 71, 83, 85, 89, 90, 96, 98, 100, 101, 105, 109, 111, 114, 115, 119, 123, 124, 125, 129, 130, 132, 133, 137, 138, 142, 143, 146, 149, 150, 155, 156, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 175, 182, 185, 186, 189, 191, 194, 195, 196.",-,120,42,-,-,-
848,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3329 ,Pending Bills,-,-,-,-,"1,602.00","1,602.00"
849,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3330 ,"Special Development Works in ward No.92, 98 108,128,173, 174,181, 183, (8 wards Rs.2.00 Cr each)",-,-,-,-,-,-
850,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3330 ,Pending Bills,-,-,-,-,76,76
851,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3331 ,"Special Development Works in Ward No. 11, 20, 32, 50, 64, 67, 69, 126, 139, 145, 154, 168, 169, 177, 178, 179, 187, 188, 193, [19 wards Rs.3.00 Cr each)",-,-,-,-,-,-
852,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3331 ,Pending Bills,-,-,-,-,"1,558.00","1,558.00"
853,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3332 ,"Special Development Works in Ward No.02, 12, 22, 23, 24, 25, 30, 31, 37, 38, 40, 41, 42, 47, 49, 53, 55, 56, 59, 73, 77, 78, 81, 74, 87, 97, 102, 117, 118, 120, 121, 131, 134, 136, 140, 135, 147, 148, 152, 157, 170, 172, 176, [43 wards Rs.4.00 Cr each)",70,220,260,-,-,-
854,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3332 ,Pending Bills,-,-,-,-,"4,158.00","4,158.00"
855,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3333 ,"Special Development Works in Ward No.7, 8, 21, 33, 58, 66, 68, 75, 76, 91, 94, 95, 110, 116, 153, 180, 190, 198, 88, 18 [20 wards Each Rs.5.00 Cr ]",-,109.91,83,-,-,-
856,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3333 ,Pending Bills,-,-,-,-,"1,816.00","1,816.00"
857,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3334 ,"Special Development Works in Ward No.106, 141, 151, 72",-,100,-,-,-,-
858,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3334 ,Pending Bills,-,-,-,-,456,456
859,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3335 ,"Special Development Works in Ward No.54, 99, 107, 48 [4 wards Each Rs.8.00 Cr ]",-,-,-,-,-,-
860,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3335 ,Pending Bills,-,-,-,-,584,584
861,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2439 ,Development work in ward no 177,194.42,-,-,-,-,-
862,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3336 ,"Special Development Works in ward No.63. 84. 86, 112 144 (5 wards Rs 10.00 Cr each) and in ward No.60, 80. 113, 122 (Rs. 11.00 Cr per each ward)",-,-,460,-,-,-
863,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3336 ,Pending Bills,-,-,-,-,"1,650.00","1,650.00"
864,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P0494 ,"M & R to stalls, shops & complexes",8.3,8.3,-,-,-,-
865,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2145 ,Pit Ground at Malleshwaram sroS airarfrrao^ ro ,-,202,-,-,-,-
866,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2145 ,Pending Bills,-,-,-,-,22,22
867,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2202 ,Development of Footpath in Gandhi Bazar main road,-,124.5,-,-,-,-
868,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2203 ,Construction of Community Hall at RR Nagar,-,133,-,-,-,-
869,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2313 ,Developmental works at ward no 16,-,41.95,-,-,-,-
870,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2333 ,Developmental works at BTM Layout Assembly constituency,-,"3,053.50",54,-,-,-
871,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3588 ,"Developmental works at Dasara-halli-45 Cr, Hebballa-35 Cr, RRnagr- 25Cr, K.R.Pura-15 Cr, Jayanagara-15Cr, BTM-20Cr, Chamrajpet-20Cr, Govindraja-nagr-20Cr Assembly constituencies",-,-,-,-,"19,500.00","19,500.00"
872,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3589 ,"Developmental works at Vijay-anagar, Pulikeshinagar, Shiva-jinagar, Sarvagnanagar, Shan-thinagar, Byatarayanapura-Rs 20 Cr each, Gandhinagar-25Cr, Yeshwanthapura-25Cr, Anekal-2Cr Assembly constituencies Rs.10.00Cr each constituencies",-,-,-,-,"17,200.00","17,200.00"
873,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3590 ,"Developmental works at Pad-manabanagar-lOCr, Rajajinagar-5Cr, Malleswaram-5Cr, CV Ramannagar-5Cr, Basavanagudi-lOCr, Chickpet-lOCr, B’lore South-20Cr, Yelahanka-lOCr, Mahadevapura-lOCr, Bommana-halli-20Cr Assembly constituencies",-,-,-,-,"10,500.00","10,500.00"
874,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2375 ,Development of playground at ward no 17 JP Park,-,107.6,108,-,-,-
875,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2670 ,Fire safety and allied works to Ambedkar bhavan Yelahanka new town 1,-,522.1,400,-,-,-
876,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2775 ,"Construction of RCC drain wall in Sarabandepalya, Pragathipura in ward no 180",-,25,-,-,-,-
877,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2775 ,Pending Bills,-,-,-,-,97,97
878,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2786 ,Widening and Strengthening of Road at Kempegowda ward,-,105.15,100,-,-,-
879,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2786 ,Pending Bills,-,-,-,-,6,6
880,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P2873 ,Development work in ward no 132,65.89,65.9,-,-,-,-
881,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3097 ,Construction of ward offices at Janatha Bazar in ward no 35,-,111.6,112,-,-,-
882,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3108 ,Removing of High Tension wire & installing cable wire at ward no 51,-,200,-,-,-,-
883,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3176 ,"Developmental works in ward no 82, 06, 16, 44, 70, 17, 26, 13, 79, 35 (Rs. 300.00 Lakhs per each ward)",-,599.05,325,-,-,-
884,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3176 ,Pending Bills,-,-,-,-,"1,247.00","1,247.00"
885,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3177 ,"Developmental works in ward no 62, 92 & 110 (Rs. 200.00. Lakhs per each ward)",-,107.35,50,-,-,-
886,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3177 ,Pending Bills,-,-,-,-,31,31
887,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3178 ,Construction of Multi Specialty Diagnostic & research centre in ward no 148,-,20,-,-,-,-
888,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3179 ,Developmental works in Gandhi nagar assembly constituency,-,18,-,-,-,-
889,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3179 ,Pending Bills,-,-,-,-,77,77
890,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3181 ,"Developmental works in ward no 183, 29, 190, 177, 168, 13, 14, 3, 4, 89, 27, 126 & 132",-,368.55,-,-,-,-
891,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3181 ,Pending Bills,-,-,-,-,488,488
892,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3396 ,"Developmental works in ward no. 18.157.107.180.192.46.127.115.163, 168 (Rs.7Cr Each)",-,"7,000.00",-,-,-,-
893,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3397 ,"Developmental works in ward no.44 ,144,91,95,135,86,74,78,140,31,152, 112 (Rs.4Cr Each)",-,"4,800.00",-,-,-,-
894,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3398 ,"Developmental works in ward no. 18 ,22,31,32,44,67,69,70,74,102,103,13 5.139.6 176 (Rs.6Cr Each)",-,"8,400.00",-,-,-,-
895,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3398 ,Pending Bills,-,-,-,-,100,100
896,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3399 ,"Developmental works in ward no.60,80,86,112,113,122,144 (Rs.7Cr Each)",-,"4,900.00",-,-,-,-
897,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3400 ,Developmental works in ward no.75 (Rs.20Cr) & Ward 29 (Rs.lOCr) each & ward 32 (Rs.7 Cr )each,-,"3,700.00",15,-,-,-
898,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3441 ,"Developmental works at ward no.48, 60 & 61 Rs.4.00 Cr Each",-,"1,200.00",-,-,-,-
899,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3442 ,"Developmental works at ward no. 07 ,08,11,12,25,41,49,50,63,67,68,72 , 74,102,77,98,99,100,140,145,148, 153,171,172 Rs.2.00 Cr Each",-,"4,800.00",-,-,-,-
900,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3443 ,"Developmental works at ward no. 1, 9,13,19,20,27,34,38,45,52,65,84,89, 101,104,115,126,128,132,154,155, 158,163,169,175,181,184,185,194, 195 & 196 Rs.2.00 Cr Each",-,"6,200.00",-,-,-,-
901,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3501 ,Comprehensive development works at ward No.50 Rs.3.00 Cr and Ward No. 141 and 58 Rs.5.00 Cr each,-,"1,300.00",-,-,-,-
902,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3502 ,Development of Singapore Garden Gubbalala at ward No. 197,-,200,-,-,-,-
903,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3503 ,Development work at Talagattapura surrounding areas Hemigepura ward,-,300,-,-,-,-
904,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3504 ,Developmental work at surrounding of Kavika Factory,-,100,-,-,-,-
905,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3505 ,Special Developmental works at ward No.70,-,"1,500.00",-,-,-,-
906,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3505 ,Current Works,-,-,-,-,500,500
907,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3506 ,"Developmental works at ward No.22, 24, 54, 56, 102, 125, 133 Rs.2.00 Cr each",-,"1,400.00",-,-,-,-
908,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3507 ,"Developmental works in ward No.80, 113, 122 Rs.2 Cr each",-,600,-,-,-,-
909,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3508 ,"Developmental works in ward No.69, 103, 139, 176, Rs.2 Cr each",-,800,-,-,-,-
910,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3509 ,Other Development works in ward No.68,-,100,-,-,-,-
911,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3510 ,Special developmental works in ward No.48,-,300,-,-,-,-
912,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3513 ,Comprehensive development work in ward No.78,-,700,-,-,-,-
913,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3514 ,Installation of Lift JGPU College prominent road Frazer town,-,25,-,-,-,-
914,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3515 ,"Comprehensive development works in ward No.29, 75, 77, 121, 153, 171, 172 Rs.4.00 Cr each",-,"2,800.00",-,-,-,-
915,Payments,13. Public Works Zonal,Infrastructure,Other Infrastructure,P3515 ,Pending Bills,-,-,-,-,300,300
